country,osm_id,city,lat,lon
Mozambique,1423061100,Muchungue,-20.3888157,33.9380175
Mozambique,2084079005,Praia de Bilene,-25.2795872,33.2458467
Mozambique,6170852475,Jangamo,-24.1142195,35.3158414
Réunion,246837430,Saint-Denis,-20.8799889,55.448137
Réunion,999426236,Le Port,-20.9354584,55.2916763
Rwanda,60485579,Kigali,-1.950851,30.061507
Rwanda,271315342,Musanze,-1.50405,29.63631
Rwanda,271317488,Gisenyi,-1.693545,29.259855
Rwanda,435637541,Huye,-2.6053426,29.7401547
Rwanda,4702953758,Muhanga,-2.0845197,29.7526948
Somalia,34684808,Muqdisho مقديشو,2.042778,45.338564
Somalia,35926758,Baydhabo بيدوا,3.119951,43.644462
Somalia,36155607,Xudur حودور,4.1237042,43.8915563
Somalia,36155827,Marka مركا‎,1.7148358,44.7699326
Somalia,36161070,Jowhar جوهر‎‎,2.776429,45.509946
Somalia,36161072,Afgooye أفجوي,2.1465328,45.1193414
Somalia,36161073,Qoryooley قوريولي,1.789663,44.530629
Somalia,36161074,Kismaayo كيسمايو,-0.3602285,42.5408831
Somalia,36305919,Baardheere بااردىرآ,2.3372449,42.2849308
Somalia,36305922,Jamaame جمامة‎‎,0.07222,42.75056
Somalia,36305946,Jilib جيليب,0.4937927,42.7764134
Somalia,36305949,Buurhakaba بورحكب,2.78333,44.08333
Somalia,43528250,Boosaaso بوصاصو,11.27848,49.179952
Somalia,43528290,Beledweyne بلد وين,4.7355786,45.2040946
Somalia,43528307,Bu'aale بوأل,1.083333,42.58333
Somalia,43528320,Gaalkacyo جالكعيو‎‎,6.769726,47.430826
Somalia,43528345,Garoowe غاروي,8.406143,48.483195
Somalia,43528353,Ceerigaabo عيرجابو,10.61806,47.37
Somalia,43528372,Laascaanood لاس عانود,8.4759498,47.3577248
Somalia,43528384,Burao برعو,9.524175,45.536932
Somalia,291580881,Berbera بربرة,10.4386215,45.0134007
Somalia,1404223285,زاو تاكو Xawo Tako,2.62003,44.89128
Somalia,1404224477,Laas Caanood لاس عانود,8.474261,47.355194
Somalia,1404226133,Burco برعو,9.52749,45.537472
Somalia,1404232532,Badhan برن‎‎,10.7154042,48.3351072
